# module	seconds	peak_mb -- written by scripts/build_pool.py
FourColor.Mask.Cfg587	5.5	2549
FourColor.Mask.Cfg592	2.5	2176
FourColor.Mask.Cfg602	2.3	2114
FourColor.Mask.Cfg612	460.3	2890
FourColor.Mask.Cfg617	2.2	2108
FourColor.Mask.Cfg619	2.4	2126
FourColor.Mask.Cfg620	4.1	2293
FourColor.Mask.Cfg625	2.6	2117
FourColor.Mask.Cfg629	14.8	3566
FourColor.MaskCert	2.0	1675
FourColor.MaskChord	2.0	2033
FourColor.MaskRank	1.3	1637
FourColor.MaskWit	2.7	2040
FourColor.Matte	5.8	2232
FourColor.Nonvacuity	6.1	3363
FourColor.Orbit	1.5	1967
FourColor.Part	10.7	2322
FourColor.Patch	3.3	2083
FourColor.Path	1.1	1495
FourColor.Perm	1.9	2006
FourColor.Present	2.0	2019
FourColor.Present10	2.0	2009
FourColor.Present10Chk1	21.0	2947
FourColor.Present10Chk10	58.6	3549
FourColor.Present10Chk11	26.3	2987
FourColor.Present10Chk12	30.5	2500
FourColor.Present10Chk13	35.0	3533
FourColor.Present10Chk14	30.3	2951
FourColor.Present10Chk15	20.3	2532
FourColor.Present10Chk16	15.0	2379
FourColor.Present10Chk17	18.4	2194
FourColor.Present10Chk18	36.0	3050
FourColor.Present10Chk19	17.1	2417
FourColor.Present10Chk2	30.2	2805
FourColor.Present10Chk20	29.9	2751
FourColor.Present10Chk21	45.1	3024
FourColor.Present10Chk22	38.0	3058
FourColor.Present10Chk23	30.3	2546
FourColor.Present10Chk24	30.8	2512
FourColor.Present10Chk3	16.9	2608
FourColor.Present10Chk4	29.5	2979
FourColor.Present10Chk5	80.6	3612
FourColor.Present10Chk6	42.7	2969
FourColor.Present10Chk7	12.3	2455
FourColor.Present10Chk8	30.5	3033
FourColor.Present10Chk9	21.1	2725
FourColor.Present10Defs	6.2	2308
FourColor.Present10Hub1	2.1	2080
FourColor.Present10Hub2	2.1	2080
FourColor.Present10Step1	4.6	2160
FourColor.Present10Step2	9.4	2376
FourColor.Present10Step3	5.3	2195
FourColor.Present11	2.2	2006
FourColor.Present11Chk1	8.0	2195
FourColor.Present11Chk2	6.4	2048
FourColor.Present11Chk3	6.8	2072
FourColor.Present11Chk4	31.8	2781
FourColor.Present11Chk5	38.2	2468
FourColor.Present11Chk6	15.9	2229
FourColor.Present11Defs	4.1	2182
FourColor.Present11Hub1	1.5	2009
FourColor.Present11Step1	7.2	2233
FourColor.Present5	1.5	2000
FourColor.Present5Chk1	2.2	2005
FourColor.Present5Defs	1.9	2104
FourColor.Present5Step1	1.9	2024
FourColor.Present6	1.8	2005
FourColor.Present6Chk1	26.4	2730
FourColor.Present6Chk2	7.6	2073
FourColor.Present6Chk3	5.8	2055
FourColor.Present6Chk4	14.4	2098
FourColor.Present6Chk5	6.5	2057
FourColor.Present6Chk6	5.8	2067
FourColor.Present6Chk7	5.1	2030
FourColor.Present6Chk8	3.5	2022
FourColor.Present6Defs	4.3	2200
FourColor.Present6Step1	13.1	2394
FourColor.Present7	1.5	2045
FourColor.Present7Chk1	55.1	2854
FourColor.Present7Chk10	17.4	2394
FourColor.Present7Chk100	70.6	3862
FourColor.Present7Chk101	16.9	2352
FourColor.Present7Chk102	8.6	2085
FourColor.Present7Chk103	19.5	2505
FourColor.Present7Chk104	14.3	2395
FourColor.Present7Chk105	16.4	2353
FourColor.Present7Chk106	17.4	2220
FourColor.Present7Chk107	43.0	3685
FourColor.Present7Chk108	33.8	2452
FourColor.Present7Chk109	18.3	2317
FourColor.Present7Chk11	17.4	2702
FourColor.Present7Chk110	13.0	2256
FourColor.Present7Chk111	19.3	2350
FourColor.Present7Chk112	51.4	2932
FourColor.Present7Chk113	44.5	3054
FourColor.Present7Chk12	21.7	2969
FourColor.Present7Chk13	43.4	3065
FourColor.Present7Chk14	21.3	2248
FourColor.Present7Chk15	39.7	2689
